pickup_hour,trips,avg_fare,avg_distance
0,451468,19.69238444363741,3.854695969592522
1,302922,17.73332164715627,3.2679250103987414
2,209838,16.62314871472255,3.0405704400537634
3,137682,18.530557371334048,3.5166740750424816
4,91704,23.43624574718687,4.870803454593024
5,104964,27.495404138561714,9.177270492740366
6,236490,22.02658531016092,13.474537612584054
7,485214,18.77043762133864,6.181995944057639
8,681018,17.83296256486659,5.593863862629188
9,753708,17.951733668742342,3.050749494499192
10,812556,18.07317671643607,3.3242913473040243
11,880482,17.62895255098964,3.480432240522817
12,959448,17.803946769393022,3.351749255822067
13,992118,18.421461116520895,3.16444056049791
14,1068144,19.274242686379537,3.6565943355951607
15,1104000,19.11836048913047,3.961551195652219
16,1109796,19.462044808235508,3.4005912978600925
17,1201830,18.12775557275186,3.0635326626893375
18,1237674,17.019187847526887,2.863771493947541
19,1072842,17.63802943956413,3.159789885183491
20,933330,18.050768281315424,3.3619654141622535
21,935466,18.311436396405995,3.4586088216995425
22,829450,19.11043592742254,3.662482247272244
23,627824,20.25058290221477,4.021149334845492
