pickup_hour,trips,unknown_payments,unknown_payment_rate
0,451468,32052,0.07099506498799472
1,302922,27948,0.09226137421514449
2,209838,15894,0.07574414548365882
3,137682,12954,0.09408637294635465
4,91704,14196,0.15480240774666318
5,104964,10332,0.09843374871384475
6,236490,20760,0.08778383864011163
7,485214,33384,0.06880263141624109
8,681018,41562,0.06102922389716571
9,753708,27936,0.03706475186677068
10,812556,22518,0.027712551504142483
11,880482,22602,0.025670030733166607
12,959448,26766,0.02789729094229182
13,992118,25212,0.025412299746602723
14,1068144,27510,0.02575495438817238
15,1104000,29580,0.026793478260869565
16,1109796,27546,0.024820777872690117
17,1201830,41538,0.0345622925039315
18,1237674,49494,0.03998952874504918
19,1072842,38364,0.03575922642849553
20,933330,29172,0.03125582591366398
21,935466,36738,0.039272405410779226
22,829450,39126,0.04717101693893544
23,627824,38250,0.060924717755294476
